param n := 50;
param k := 5;
param max_ciudades := 15;

param dist :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 :=
11 85 87 81 99 35 48 92 75 42 71 92 0 77 31 43 24 102 59 5 41 59 67 55 29 24 60 88 66 24 50 51 69 71 91 35 76 97 71 64 53 80 20 44 96 36 106 64 87 96 56
12 27 50 81 73 52 36 34 7 53 38 34 77 0 77 60 85 35 24 80 61 30 59 72 49 90 81 37 54 61 70 27 19 25 73 44 39 74 31 77 67 47 67 86 43 50 92 37 54 46 62
13 75 67 52 74 55 60 79 78 25 56 80 31 77 0 67 13 92 54 28 19 70 43 26 33 19 29 73 45 19 22 57 76 61 66 48 60 72 59 35 26 61 16 14 81 27 78 50 67 80 32
14 80 93 105 113 13 24 88 54 61 76 88 43 60 67 0 65 93 56 48 65 30 85 83 38 66 90 87 81 49 77 35 43 69 108 25 80 112 72 91 78 87 51 81 95 52 126 70 96 97 78
15 85 80 64 87 55 63 90 85 36 67 91 24 85 13 65 0 103 63 20 31 74 56 39 38 7 40 85 57 24 34 62 82 71 78 50 72 85 69 46 38 73 19 22 92 35 90 61 79 91 44
16 18 36 75 55 84 69 14 42 67 37 13 102 35 92 93 103 0 43 104 73 64 58 77 73 109 84 22 53 81 77 59 54 32 59 74 34 57 34 78 74 38 87 96 19 69 75 42 40 23 66
17 27 38 61 59 45 32 34 27 30 22 34 59 24 54 56 63 43 0 61 37 34 38 49 30 69 57 32 33 39 46 21 31 13 57 33 25 60 16 54 44 32 45 62 40 28 76 17 41 41 39
18 87 87 79 98 40 52 93 78 42 72 94 5 80 28 48 20 104 61 0 40 63 66 53 31 19 57 89 66 24 48 54 72 73 90 39 77 97 72 62 51 80 19 41 97 37 105 65 87 97 55
19 56 49 42 58 52 51 60 63 7 37 61 41 61 19 65 31 73 37 40 0 60 27 18 26 38 26 54 27 18 13 45 63 42 51 42 41 57 40 27 14 42 21 25 62 14 66 31 48 60 16
20 53 72 93 93 26 11 62 24 54 56 61 59 30 70 30 74 64 34 63 60 0 71 76 37 78 85 62 66 51 72 15 12 45 91 24 58 94 49 83 71 66 56 82 70 46 110 51 75 72 68
21 43 26 22 32 72 66 44 64 26 23 45 67 59 43 85 56 58 38 66 27 71 0 20 48 63 26 37 6 44 22 56 70 35 24 60 25 30 30 20 18 21 47 42 42 34 41 23 24 40 12
22 61 46 26 49 70 69 63 76 23 40 64 55 72 26 83 39 77 49 53 18 76 20 0 44 45 9 56 24 35 5 61 78 50 40 59 44 46 46 9 5 41 36 22 62 31 51 37 44 60 11
23 57 61 67 77 26 27 64 48 23 45 64 29 49 33 38 38 73 30 31 26 37 48 44 0 42 52 60 45 14 39 25 44 43 72 16 49 77 43 53 40 54 19 46 69 14 89 38 63 69 40
24 92 86 70 93 57 67 97 90 43 74 98 24 90 19 66 7 109 69 19 38 78 63 45 42 0 46 91 64 29 41 67 86 78 85 54 79 91 76 53 45 80 24 27 99 41 96 68 86 98 51
25 68 52 24 51 77 77 70 84 31 48 71 60 81 29 90 40 84 57 57 26 85 26 9 52 46 0 63 31 41 13 70 87 58 41 67 51 48 54 8 14 47 41 20 68 39 50 45 49 66 19
26 11 15 54 37 76 63 7 44 49 17 8 88 37 73 87 85 22 32 89 54 62 37 56 60 91 63 0 32 65 56 52 55 18 39 65 13 39 17 57 53 16 70 76 9 52 57 24 20 10 46
27 38 23 28 33 69 62 39 59 24 17 40 66 54 45 81 57 53 33 66 27 66 6 24 45 64 31 32 0 43 25 52 65 29 27 57 20 32 24 25 21 17 47 45 38 32 45 17 22 36 14
28 64 63 59 75 37 41 70 61 18 48 70 24 61 19 49 24 81 39 24 18 51 44 35 14 29 41 65 43 0 29 39 58 50 68 29 53 74 48 44 31 56 6 32 73 13 84 41 63 73 33
29 60 48 31 52 65 64 63 73 18 40 64 50 70 22 77 34 77 46 48 13 72 22 5 39 41 13 56 25 29 0 57 74 48 44 54 43 50 45 14 4 42 31 20 63 26 56 36 46 61 11
30 45 59 78 80 26 11 53 24 39 43 53 51 27 57 35 62 59 21 54 45 15 56 61 25 67 70 52 52 39 57 0 19 34 77 17 46 81 37 69 56 53 44 69 60 32 96 37 63 62 53
31 45 66 92 88 38 22 53 12 56 52 52 69 19 76 43 82 54 31 72 63 12 70 78 44 86 87 55 65 58 74 19 0 39 87 34 53 90 44 85 73 61 63 87 61 51 106 48 70 64 69
32 14 27 56 49 58 45 21 31 36 13 21 71 25 61 69 71 32 13 73 42 45 35 50 43 78 58 18 29 50 48 34 39 0 48 47 14 50 5 53 46 22 55 67 27 37 67 13 30 28 39
33 49 24 20 9 95 87 46 79 50 35 47 91 73 66 108 78 59 57 90 51 91 24 40 72 85 41 39 27 68 44 77 87 48 0 83 34 7 43 34 40 26 72 61 40 59 19 40 20 36 35
34 59 70 81 88 12 13 67 41 37 53 67 35 44 48 25 50 74 33 39 42 24 60 59 16 54 67 65 57 29 54 17 34 47 83 0 57 88 49 68 55 63 33 61 73 28 101 46 72 74 54
35 18 13 44 35 69 57 20 45 36 5 21 76 39 60 80 72 34 25 77 41 58 25 44 49 79 51 13 20 53 43 46 53 14 34 57 0 36 9 45 40 8 58 63 21 40 53 12 17 20 33
36 50 25 26 3 100 91 45 81 56 38 47 97 74 72 112 85 57 60 97 57 94 30 46 77 91 48 39 32 74 50 81 90 50 7 88 36 0 45 40 47 28 78 67 38 64 18 43 20 35 41
37 16 22 51 44 60 48 21 36 33 8 22 71 31 59 72 69 34 16 72 40 49 30 46 43 76 54 17 24 48 45 37 44 5 43 49 9 45 0 49 42 17 54 63 26 36 62 9 26 26 35
38 63 45 17 43 79 77 64 81 31 42 65 64 77 35 91 46 78 54 62 27 83 20 9 53 53 8 57 25 44 14 69 85 53 34 68 45 40 49 0 13 41 45 27 62 40 43 41 42 59 16
39 57 44 28 49 66 64 60 71 18 36 61 53 67 26 78 38 74 44 51 14 71 18 5 40 45 14 53 21 31 4 56 73 46 40 55 40 47 42 13 0 38 33 23 59 27 53 33 42 57 7
40 24 7 38 27 75 64 23 53 38 10 25 80 47 61 87 73 38 32 80 42 66 21 41 54 80 47 16 17 56 42 53 61 22 26 63 8 28 17 41 38 0 61 62 21 44 45 17 9 19 31
41 69 68 61 79 39 45 75 66 23 53 76 20 67 16 51 19 87 45 19 21 56 47 36 19 24 41 70 47 6 31 44 63 55 72 33 58 78 54 45 33 61 0 30 78 18 86 47 68 78 36
42 79 67 44 70 69 73 83 88 32 59 84 44 86 14 81 22 96 62 41 25 82 42 22 46 27 20 76 45 32 20 69 87 67 61 61 63 67 63 27 23 62 30 0 83 37 70 55 66 81 31
43 17 17 56 36 85 71 9 50 56 25 10 96 43 81 95 92 19 40 97 62 70 42 62 69 99 68 9 38 73 63 60 61 27 40 73 21 38 26 62 59 21 78 83 0 60 56 32 21 4 52
44 51 51 53 65 39 38 57 51 9 36 58 36 50 27 52 35 69 28 37 14 46 34 31 14 41 39 52 32 13 26 32 51 37 59 28 40 64 36 40 27 44 18 37 60 0 75 29 52 60 26
45 67 42 26 20 113 106 63 98 67 54 64 106 92 78 126 90 75 76 105 66 110 41 51 89 96 50 57 45 84 56 96 106 67 19 101 53 18 62 43 53 45 86 70 56 75 0 59 38 52 50
46 25 24 45 43 58 48 29 42 25 7 30 64 37 50 70 61 42 17 65 31 51 23 37 38 68 45 24 17 41 36 37 48 13 40 46 12 43 9 41 33 17 47 55 32 29 59 0 26 31 26
47 30 5 35 19 84 74 26 61 45 20 28 87 54 67 96 79 40 41 87 48 75 24 44 63 86 49 20 22 63 46 63 70 30 20 72 17 20 26 42 42 9 68 66 21 52 38 26 0 18 35
48 19 14 53 32 86 73 12 53 56 25 13 96 46 80 97 91 23 41 97 60 72 40 60 69 98 66 10 36 73 61 62 64 28 36 74 20 35 26 59 57 19 78 81 4 60 52 31 18 0 50
49 50 37 27 43 65 62 52 66 17 29 53 56 62 32 78 44 66 39 55 16 68 12 11 40 51 19 46 14 33 11 53 69 39 35 54 33 41 35 16 7 31 36 31 52 26 50 26 35 50 0
;
